,Material_,year_,PKT real_sum,StandardDeviation_mean
454,2198163,2022,275507,340.86317088003597
455,2198164,2022,478834,428.8931532910633
456,2198165,2022,119311,283.3712384526372
457,2198166,2022,149806,199.72453711946136
458,2198167,2022,76521,217.30821748483064
459,2198170,2022,6571,16.099812567712416
460,2198171,2022,43868,89.99345373598891
461,2198172,2022,74026,148.08268745347158
462,2198173,2022,140825,259.6668382107706
463,2198174,2022,31502,81.67700210425653
464,2198175,2022,47224,103.11632858785863
465,2198176,2022,6535,13.703142268069957
466,2198177,2022,15840,141.4064638742184
467,2198178,2022,66476,377.8394184077795
468,2198179,2022,26266,290.9584378285711
469,2198180,2022,3008,35.1944168259319
470,2198200,2022,112573,45.817582278336104
471,2198205,2022,38750,21.870315777931232
472,2198279,2022,727417,218.16348840226544
473,2198280,2022,2270081,370.6129495750363
474,2198281,2022,5328477,414.46831854550555
475,2198282,2022,991283,293.16879705655595
476,2198283,2022,1492164,203.2616755758451
477,2198283,2023,15566,203.2616755758451
478,2198284,2022,1331349,273.22060923211353
479,2198287,2022,29401,19.209657750343595
480,2198288,2022,98829,86.09842285215194
481,2198289,2022,286844,134.68315944003302
482,2198290,2022,526062,219.5058670758551
483,2198291,2022,108892,61.67630686275899
484,2198292,2022,207203,93.97407774552055
485,2198293,2022,14138,13.140327498412022
486,2198294,2022,102173,156.43182855857887
487,2198295,2022,424891,366.58557042486063
488,2198296,2022,409101,317.69508241376263
489,2198297,2022,14854,46.02870348913852
490,2198298,2022,97761,52.0909725742456
491,2198299,2022,269388,115.01007355577373
492,2198300,2022,273231,108.3440929230312
493,2198306,2022,79785,261.18764464324437
494,2198307,2022,47466,285.2101197448481
495,2198308,2022,46775,77.7069587571175
496,2198309,2022,37355,206.41920450145372
497,2198310,2022,57975,164.0056684822819
498,2198311,2022,81950,97.10498580074922
499,2198312,2022,46400,318.7517277120454
500,2198313,2022,38250,0.0
501,2198314,2022,46503,94.1131537792976
502,2198315,2022,217422,288.7582860714966
503,2198316,2022,89747,305.2197053464979
504,2198317,2022,209077,62.86091218420555
505,2198411,2022,682503,174.40233511043323
506,2198412,2022,192375,94.49216374161516
507,2198413,2022,304115,141.97004467077912
508,2198414,2022,136290,53.032827104576285
509,2198415,2022,228673,91.16157981858261
510,2198416,2022,382696,135.84905155553466
511,2198492,2022,856543,186.75420097245976
512,2198493,2022,1240741,288.73567060362313
513,2198494,2022,94124,69.85509668513147
514,2198611,2022,106361,118.0915101624862
515,2198612,2022,49515,121.70627428723628
516,2198613,2022,97372,180.99442366505005
517,2198614,2022,336284,195.334243154679
518,2198615,2022,51415,63.1093020755726
519,2198616,2022,195269,175.0219391870506
520,2198617,2022,56249,133.63594831014584
521,2198618,2022,185424,273.69072229349587
522,2198619,2022,393400,222.94025216862545
523,2198620,2022,97401,263.8327794112029
524,2198621,2022,45451,99.69923963687867
525,2198622,2022,32531,67.60342478561218
526,2198627,2022,11654,14.776604339845665
527,2198628,2022,6225,13.109884070828137
528,2198629,2022,7806,12.240489519867966
529,2198631,2022,67490,75.78894711483831
530,2198633,2022,31558,23.77005509727084
531,2198634,2022,177251,165.4546792378107
532,2198635,2022,286635,198.93379864681555
533,2198636,2022,59849,96.34271560041834
534,2198637,2022,149268,117.43941098981703
535,2198638,2022,6952,12.740087854004072
536,2198639,2022,34066,58.95465381003134
537,2198640,2022,152247,146.64679685008053
538,2198641,2022,230825,160.70203959245043
539,2198642,2022,88147,65.51026888027882
540,2198643,2022,5936,12.380545766887868
541,2198745,2022,3064,5.780251139608946
542,2198751,2022,8689,54.07099536716628
543,2198752,2022,4042,27.35541622684248
544,2198753,2022,94700,87.57433522665559
545,2198756,2022,85654,76.41629998087798
546,2198757,2022,53530,36.700133869196065
547,2198758,2022,28689,42.15918312679775
548,2198759,2022,48776,104.17302394881075
549,2198760,2022,282618,306.43911000535235
550,2198761,2022,43536,57.78186455449519
551,2198762,2022,233338,182.22747056611885
552,2198763,2022,5407,27.438693115891965
553,2198764,2022,101658,98.27828294718441
554,2198765,2022,7426,128.07306869819072
555,2198889,2022,127525,59.206181746709056
556,2198889,2023,25775,59.206181746709056
557,2198890,2022,225000,1.3344012817090602
558,2198890,2023,38225,1.33440128170906
559,2198891,2022,145915,94.82314186099481
560,2198891,2023,22800,94.82314186099481
561,2198892,2022,204765,116.66085575898558
562,2198892,2023,31650,116.66085575898558
563,2198893,2022,124350,74.64126886920472
564,2198893,2023,21200,74.64126886920472
565,2198894,2022,214050,45.882751023339104
566,2198894,2023,40500,45.882751023339104
567,2198895,2022,78790,125.48301312684184
568,2198895,2023,16150,125.48301312684184
569,2198896,2022,200515,109.05381859251868
570,2198896,2023,34650,109.05381859251868
571,2198897,2022,81900,91.26304201299432
572,2198897,2023,25200,91.26304201299432
573,2198906,2022,314346,6.37809419704029
574,2198906,2023,24906,6.378094197040289
575,2198907,2022,254425,171.88300831086838
576,2198907,2023,32225,171.88300831086838
577,2198908,2022,134575,130.9712002104006
578,2198908,2023,17500,130.9712002104006
579,2198909,2022,104300,147.1956928419243
580,2198909,2023,21975,147.1956928419243
581,2198910,2022,163050,111.23083769956268
582,2198910,2023,21100,111.23083769956271
583,2198911,2022,890660,291.7080170558443
584,2198911,2023,68075,291.7080170558443
585,2198912,2022,419400,303.40096677750995
586,2198912,2023,29000,303.40096677750995
587,2198913,2022,587020,27.905244975196233
588,2198913,2023,80050,27.905244975196233
589,2198914,2022,282775,91.15176269980445
590,2198914,2023,24625,91.15176269980444
591,2198915,2022,184646,144.2519360122039
592,2198915,2023,21975,144.2519360122039
593,2198916,2022,82575,263.58297314958133
594,2198916,2023,17224,263.58297314958133
595,2198917,2022,51650,184.65728961170632
596,2198917,2023,17200,184.65728961170632
597,2198918,2022,104850,187.07423261272004
598,2198918,2023,25125,187.07423261272004
599,2198919,2022,165775,191.67768183476744
600,2198919,2023,43375,191.67768183476744
601,2198920,2022,99625,356.47008450374153
602,2198920,2023,21225,356.47008450374153
603,2198921,2022,140897,106.49236519289055
604,2198921,2023,15400,106.49236519289055
605,2199037,2022,68997,219.33274210854097
606,2199037,2023,9200,219.33274210854097
607,2199150,2022,57725,260.1800207527595
608,2199151,2022,52005,126.41737403939538
609,2199152,2022,79688,90.96579795156501
610,2199163,2022,150164,70.51973469879596
611,2199164,2022,165748,103.12391153992614
612,2199165,2022,129237,143.63332195251084
613,2199166,2022,125005,62.59990368814691
614,2199167,2022,69547,67.8020511431684
615,2199168,2022,108728,179.47357347620027
616,2199169,2022,258590,103.97037903176066
617,2199170,2022,79780,53.21206978904274
618,2199171,2022,61830,34.93177032948603
619,2199172,2022,237499,164.60286039579773
620,2199173,2022,248445,192.79142691203737
621,2199174,2022,60493,57.42324349511949
622,2199175,2022,44886,72.16497703029182
623,2199196,2022,112735,137.0760003542362
624,2199197,2022,435209,294.4058304454689
625,2199419,2022,109687,302.2573411164652
626,2199423,2022,89531,177.7285218188501
627,2199429,2022,300541,118.42178616853603
628,2199429,2023,39125,118.42178616853604
629,2199444,2022,177866,68.84634794387077
630,2199732,2022,77052,63.96373154185419
631,2199735,2022,143025,71.5247366589684
632,2199736,2023,6256,36.26599264079534
633,2200007,2022,89285,116.66983313814693
634,2200008,2022,133667,132.51942493395387
635,2200134,2022,11340,0.0
636,2200238,2022,48873,67.40052464000107
637,2200240,2022,71232,61.04532820635486
638,2200241,2022,35561,54.731459317280795
639,2200295,2022,27648,17.82675246499698
640,2200330,2022,204636,103.16938014724975
641,2200353,2022,187708,104.89101993310591
642,2200367,2022,92660,166.43317640757087
643,2200368,2022,154124,104.75238893403869
644,2200369,2022,65823,169.33794630900823
645,2200370,2022,97562,170.916272803522
646,2200371,2022,136372,103.8437203260233
